date,Ageing,Aids,Animal Welfare,Bird Flu,BSE,Coal Pits,EU,Countryside,Crime,Defence,Drug Abuse,Economy,Education,Farming,German Reunification,GM foods,Housing,Inflation/Prices,Inner Cities,Local Govt,Low Pay,Morality,NHS,Northern Ireland,Nuclear Power,Nuclear Weapons,Pensions,Fuel Prices,Environment,The Pound,Poverty/Inequality,Privatisation,Public Services,Immigration,Scots/Welsh Assembly,Taxation,Trade Unions,Transport,Tsunami,Unemployment
19871101,,2,2,1,,,6,1,38,20,9,11,19,,,,12,5,,2,3,7,40,,,1,6,2,6,,5,,3,41,,8,,3,0,6
19871201,,1,1,1,,,4,1,41,22,7,10,17,1,,,11,4,,2,4,7,36,,,1,6,,7,0,3,1,3,43,,8,0,2,,8
19880101,,1,1,1,,,3,,55,25,8,9,19,1,,1,9,3,,2,2,9,26,,,2,5,1,8,-,6,,4,35,1,6,0,3,0,7
19880201,,,,,,,3,1,35,39,7,7,22,0,,,16,3,,2,3,8,30,,,2,6,1,9,,5,1,3,40,1,7,,3,,7
19880301,,1,1,1,,,4,2,35,27,6,10,22,,,,10,3,,3,2,7,37,,,2,8,1,13,,6,1,3,40,1,6,,3,,8
19880401,,,,,,,3,1,36,27,7,9,23,,,,11,3,,3,3,6,37,,,2,7,1,10,,5,1,3,38,1,6,,3,0,7
19880501,,1,1,,,,2,1,40,27,9,10,19,,,,10,5,,3,2,8,36,,,1,8,1,12,,5,1,4,36,,9,1,4,,8
19880601,,1,1,,,,7,2,37,36,11,14,22,,,1,8,7,,4,3,6,27,,,3,8,2,19,1,4,,3,25,,7,,2,,6
19880701,,1,1,,,,3,1,33,35,5,9,21,,,,7,4,,1,2,6,32,,,2,10,2,13,,5,1,3,38,1,9,,3,1,6
19880801,,1,1,,,,3,1,32,40,6,9,18,,,,6,4,,3,2,6,31,,,1,7,2,11,,5,1,3,38,,8,,2,1,6
19880901,,,,,,,3,2,30,37,5,8,20,1,,1,5,2,,2,2,5,38,,,3,7,1,8,,5,1,2,40,0,7,0,3,,6
19881001,,1,1,1,,,3,1,26,38,6,8,19,,,1,8,3,,3,2,4,32,,,2,7,3,10,1,4,,2,45,,7,,2,,5
19881101,,0,0,,,,3,1,37,36,4,9,20,,,,6,3,,2,1,5,35,,,2,10,6,10,,7,,3,38,1,7,,2,,6
19881201,,,,,,,3,2,41,25,5,8,19,,,1,7,2,,2,2,6,35,,,2,10,3,10,1,5,1,2,35,1,6,,3,,6
19890101,,,,,,,3,1,36,27,5,10,25,,,,5,3,,2,2,5,38,0,,1,20,4,12,,5,,2,41,,5,0,2,,6
19890201,,,,2,,,3,2,30,23,3,9,28,,,,6,2,,2,2,5,47,0,,1,12,5,11,,5,,3,35,,7,,3,,7
19890301,,,,1,,,3,2,26,29,5,9,28,0,,,6,2,,3,2,6,37,,,2,13,2,9,,8,,3,30,,8,,3,0,5
19890401,,,,,,,3,1,28,34,6,11,25,,,,6,2,,3,2,5,33,,,2,13,3,8,,6,,,30,1,7,,3,,9
19890501,,,,,,,4,2,36,26,7,10,28,,,,6,2,,3,2,7,30,,,2,11,4,9,,7,1,2,28,,7,,3,,7
19890601,,,,,,,3,1,34,41,7,13,27,,,1,4,2,,3,1,5,29,,,1,14,1,6,,4,1,2,25,,9,,3,,7
19890701,,1,1,,,,5,1,31,31,6,10,26,,,,6,2,,4,1,5,34,,,1,12,3,6,,6,,3,30,0,7,0,4,1,6
19890801,,,,,,,5,1,25,46,5,11,21,,,,5,3,,3,2,7,28,,,2,10,5,6,,6,,2,32,,8,0,4,,7
19890901,,,,,,,4,1,24,56,4,13,19,,,,6,2,,2,1,4,28,,,1,8,4,4,,7,,1,35,,4,,3,,7
19891001,,0,0,,,,7,1,25,58,3,10,20,,,,5,1,,2,2,5,29,,,1,8,2,7,,7,,2,32,,6,0,5,1,8
19891101,,,,,,,19,1,30,16,4,11,24,,,,6,2,,2,1,4,36,0,,1,11,1,7,,7,,2,33,,8,,5,1,8
19891201,,,,,,,9,1,40,14,7,11,26,,,,8,2,,3,1,10,36,,,1,14,2,6,,5,,3,27,,8,,4,,7
19900101,,,,,0,,5,2,29,24,6,12,30,1,,1,9,2,,3,2,6,44,,,1,13,2,4,,8,,3,33,,6,,4,,8
19900201,,,,,,,8,1,29,25,5,10,26,,,,7,2,,3,2,6,38,,,1,14,1,6,,7,1,3,40,,7,,4,,8
19900301,,,,,0,,7,2,26,34,5,10,24,,,1,8,2,,3,2,6,34,,,2,11,1,5,1,8,1,3,26,,8,0,4,3,7
19900401,,,,,,,6,1,30,40,5,10,25,,,,6,2,,2,2,6,33,,,2,13,2,4,,7,1,4,25,,9,,7,,6
19900501,,1,1,,,,9,1,27,47,6,10,22,,,1,5,2,,1,2,5,32,,,2,12,2,5,1,6,1,3,24,,6,0,6,,6
19900601,,0,0,,,,7,2,28,47,7,11,26,0,,,7,3,,2,1,4,36,,,2,20,1,3,1,5,,3,25,,9,0,4,,7
19900701,,,,,,,8,1,27,36,6,10,29,,,1,7,3,,3,2,5,34,,,1,15,2,4,1,4,,4,26,,8,,5,,8
19900801,,,,,,,9,,28,38,6,10,23,0,,1,6,4,,4,1,4,34,,,2,8,3,4,,3,1,2,30,,8,,6,,7
